wv,sp
6198.630000000003,4.643327739958995e-07
6198.6506764040805,1.5911314771380863e-06
6198.671352877126,3.4262917000123477e-06
6198.692029419142,5.973934009792631e-06
6198.712706030127,9.210099328287081e-06
6198.733382710082,1.308857268332702e-05
6198.754059459006,1.7542349415601226e-05
6198.774736276901,2.2491155568379947e-05
6198.795413163767,2.7846514209782095e-05
6198.816090119603,3.351208901331001e-05
6198.83676714441,3.9382545285338404e-05
6198.857444238189,4.532956421419445e-05
6198.878121400938,5.1190928430314185e-05
6198.898798632659,5.676395401755832e-05
6198.919475933352,6.180984381267059e-05
6198.940153303017,6.608599898164101e-05
6198.960830741655,6.939662883510868e-05
6198.981508249264,7.163293747117368e-05
6199.002185825847,7.285960313002497e-05
6199.022863471402,7.339640110797915e-05
6199.043541185931,7.385484363053147e-05
6199.064218969434,7.510011191971804e-05
6199.084896821909,7.815201329603268e-05
6199.105574743358,8.414523230288422e-05
6199.126252733782,9.413193019220668e-05
6199.14693079318,0.00010889150367952353
6199.167608921553,0.00012875756590865234
6199.188287118901,0.0001535716992573929
6199.208965385224,0.00018272925629018113
6199.229643720521,0.00021518240092668542
6199.250322124794,0.00024957952514381883
6199.271000598044,0.0002844748135079341
6199.291679140269,0.0003185047082599478
6199.31235775147,0.0003505416451538852
6199.333036431648,0.00037967075549184354
6199.353715180802,0.00040521267137159683
6199.374393998934,0.0004266809564143979
6199.395072886042,0.00044367708067685855
6199.415751842127,0.0004557809818135323
6199.436430867191,0.0004625391175093404
6199.457109961232,0.0004634576242236194
6199.477789124251,0.00045809722448277317
6199.498468356248,0.000446284151247815
6199.5191476572245,0.0004283832882516005
6199.539827027179,0.00040551696200388624
6199.560506466112,0.00037959875425529156
6199.581185974025,0.00035351059375546853
6199.601865550917,0.0003309936835697317
6199.622545196788,0.0003163277005101565
6199.643224911641,0.0003137895076561104
6199.663904695472,0.0003269796110579162
6199.684584548284,0.0003584675296657547
6199.705264470077,0.00040948744729879023
6199.72594446085,0.00047946215404364123
6199.746624520604,0.0005660278841514941
6199.76730464934,0.0006653203458427415
6199.7879848470575,0.0007726172756210641
6199.808665113756,0.000882674477949389
6199.829345449437,0.0009900194605744579
6199.8500258541,0.0010894763593014979
6199.870706327746,0.001176464783838857
6199.891386870374,0.0012470678652267355
6199.912067481985,0.001298064882956022
6199.932748162579,0.001326695635554436
6199.953428912156,0.0013307525418353575
6199.974109730717,0.0013087376219657989
6199.9947906182615,0.0012602449058962365
6200.01547157479,0.0011864357733952606
6200.0361526003035,0.0010902320280003638
6200.056833694801,0.0009767871329219506
6200.0775148582825,0.0008537271079110462
6200.09819609075,0.0007306830868438423
6200.118877392202,0.0006183820683094909
6200.139558762639,0.000527170394705909
6200.160240202063,0.00046578062482181603
6200.180921710472,0.0004409370232236324
6200.201603287867,0.00045625068613709506
6200.222284934249,0.0005119819127847667
6200.242966649617,0.0006056788684248897
6200.263648433972,0.0007332676961612163
6200.284330287313,0.0008898044112468842
6200.305012209643,0.0010697436088064943
6200.325694200959,0.0012675155709932623
6200.346376261264,0.001477469441192196
6200.367058390556,0.0016935799185966074
6200.387740588836,0.0019094513878186031
6200.408422856105,0.0021179260680095676
6200.429105192362,0.0023107755175383587
6200.4497875976085,0.002478696817823773
6200.470470071843,0.002611034274430024
6200.491152615068,0.0026950324683175544
6200.511835227282,0.002715438935849661
