wv,sp
6198.630000000003,4.4538452131272104e-07
6198.6506764040805,1.7963239469840845e-06
6198.671352877126,4.402711964399738e-06
6198.692029419142,8.536678631380384e-06
6198.712706030127,1.4384427325358624e-05
6198.733382710082,2.20774289439526e-05
6198.754059459006,3.168918586755544e-05
6198.774736276901,4.324339899380115e-05
6198.795413163767,5.67253844385462e-05
6198.816090119603,7.209302861225524e-05
6198.83676714441,8.928871727219077e-05
6198.857444238189,0.00010824238511346199
6198.878121400938,0.0001288774816598595
6198.898798632659,0.00015111760652901853
6198.919475933352,0.0001748911574890602
6198.940153303017,0.00020013504000678678
6198.960830741655,0.00022679706550461165
6198.981508249264,0.0002548335399642954
6199.002185825847,0.0002842122541518086
6199.022863471402,0.00031491252350147246
6199.043541185931,0.0003469240503827369
6199.064218969434,0.0003802449777681705
6199.084896821909,0.00041487931406745775
6199.105574743358,0.00045083554004686423
6199.126252733782,0.0004881243049982888
6199.14693079318,0.0005267557706106037
6199.167608921553,0.0005667371467849801
6199.188287118901,0.0006080708770534161
6199.208965385224,0.0006507539531621167
6199.229643720521,0.0006947764765110866
6199.250322124794,0.0007401209804182795
6199.271000598044,0.0007867627396092384
6199.291679140269,0.0008346708753739867
6199.31235775147,0.0008838114110199519
6199.333036431648,0.0009341473300226803
6199.353715180802,0.0009856403732504404
6199.374393998934,0.0010382543508809083
6199.395072886042,0.0010919578257121579
6199.415751842127,0.0011467266591780709
6199.436430867191,0.0012025455190264424
6199.457109961232,0.0012594077120802235
6199.477789124251,0.0013173170553061949
6199.498468356248,0.001376287835853054
6199.5191476572245,0.0014363434969810636
6199.539827027179,0.001497513821345626
6199.560506466112,0.0015598310393087405
6199.581185974025,0.001623329037503729
6199.601865550917,0.0016880382953299833
6199.622545196788,0.0017539807992695033
6199.643224911641,0.0018211651315399328
6199.663904695472,0.001889582557622709
6199.684584548284,0.0019592057548323996
6199.705264470077,0.002029983630393493
6199.72594446085,0.0021018383933493665
6199.746624520604,0.00217466429196902
6199.76730464934,0.002248327534270388
6199.7879848470575,0.002322673074773727
6199.808665113756,0.0023975226476037163
6199.829345449437,0.0024726707365914503
6199.8500258541,0.0025478900035811208
6199.870706327746,0.002622932892437601
6199.891386870374,0.0026975318706965803
6199.912067481985,0.0027714081083842776
6199.932748162579,0.002844252188103502
6199.953428912156,0.002915716361077874
6199.974109730717,0.0029854061316738163
6199.9947906182615,0.0030528617539818635
6200.01547157479,0.003117538093165148
6200.0361526003035,0.0031788051045247134
6200.056833694801,0.003235879755609083
